Title,Category,Author(s),Status,Wiki Page,Scan Depth,In-Wiki Citations,Year,Tier,Format,URL
Robert Schalkenbach Foundation,Website/Org,,Scanned,https://www.progress.org/wiki/schalkenbach-foundation/,Medium,10,,,Website/Org,https://schalkenbach.org/
Robert Schalkenbach Foundation (site),Website/Org,Robert Schalkenbach Foundation,Referenced,https://www.progress.org/wiki/schalkenbach-foundation/,Light,1,2025,supplementary,Website,https://schalkenbach.org/
Salience of Carbon Taxes in the Gasoline Market,Academic Paper,Nicholas Rivers; Brandon Schaufele,Scanned,https://www.progress.org/wiki/carbon-pricing-cuts-emissions/,Light,1,2015,important,Paper,https://www.sciencedirect.com/science/article/abs/pii/S0095069615000728
School of Cooperative Individualism,Website/Org,,Scanned,https://www.progress.org/wiki/school-of-cooperative-individualism/,Medium,0,,,Website/Org,https://cooperative-individualism.org/
Second Treatise of Government (Ch. V Of Property),Historical Text,John Locke,Referenced,https://www.progress.org/wiki/john-locke/,Light,2,1689,important,Book,https://www.gutenberg.org/ebooks/7370
Should We Treat Data as Labor? Moving Beyond 'Free',Academic/Research,Imanol Arrieta-Ibarra; Leonard Goff; Diego Jiménez-Hernández; Jaron Lanier; E. Glen Weyl,Scanned,https://www.progress.org/wiki/data-rents/,Medium,1,2018,supplementary,Paper,https://www.aeaweb.org/articles?id=10.1257/pandp.20181003
Singapore — Context and Land Governance,Report,Land Portal,Referenced,https://www.progress.org/wiki/public-land-leasing/,Light,1,2021,supplementary,Article,https://landportal.org/book/narratives/2021/singapore
"Single Tax City: Vancouver's Worldwide Celebrity, 1911",Blog,,Referenced,https://www.progress.org/wiki/l-d-taylor/,Light,2,2016,supplementary,Blog,https://oppositethecity.wordpress.com/2016/10/17/single-tax-city-vancouvers-worldwide-celebrity-1911/
Social Problems,Academic/Research,Henry George,Scanned,https://www.progress.org/wiki/social-problems/,Medium,0,1883,core,Paper,https://www.henrygeorge.org/
Socialise the Rent: An Open Letter to Mikhail Gorbachev,Historical Document,"Tideman et al. (30 signatories incl. Modigliani, Tobin, Solow, Vickrey)",Referenced,https://www.progress.org/wiki/open-letter-to-gorbachev/,Light,3,1990,important,Letter,http://eurodos.free.fr/mime/articles/Gorbachev_1991-Socialise_the_Rent.pdf
Supernormal Returns: An Overlooked Foundation of Tax Policy Debates,Advocacy,Garrett Watson; Alex Muresianu,Referenced,https://www.progress.org/wiki/taxing-quasi-rents-kills-innovation/,Light,1,2024,supplementary,Article,https://taxfoundation.org/research/all/federal/supernormal-returns-tax-policy-debates/
Sustainable Urban Development and Land Value Taxation: The Case of Estonia,Academic/Research,Aivar Tomson,Scanned,https://www.progress.org/wiki/tomson-estonia-lvt/,Medium,4,2016,important,Paper,https://www.sciencedirect.com/science/article/abs/pii/S0264837716304999
Take 'The Donald' Seriously? Yes and Here's Why,Online Writing,Phil J. Anderson,Referenced,https://www.progress.org/wiki/18-year-land-cycle/,Light,1,2015,supplementary,Article,https://www.progress.org/articles/take-the-donald-seriously-yes-and-heres-why
Tarnishing the Golden and Empire States: Land-Use Restrictions and the U.S. Economic Slowdown,Academic Paper,Kyle F. Herkenhoff; Lee E. Ohanian; Edward C. Prescott,Scanned,https://www.progress.org/wiki/herkenhoff-ohanian-prescott-tarnishing/,Medium,1,2018,important,Paper,https://doi.org/10.1016/j.jmoneco.2017.11.001
Tax Biases to Debt Finance: Assessing the Problem Finding Solutions (IMF SDN 11/11),Institutional Report,Ruud de Mooij,Referenced,https://www.progress.org/wiki/allowance-for-corporate-equity/,Light,1,2011,important,Report,https://www.imf.org/external/pubs/ft/sdn/2011/sdn1111.pdf
Tax Policy and Heterogeneous Investment Behavior,Academic Paper,Eric Zwick; James Mahon,Scanned,https://www.progress.org/wiki/zwick-mahon-expensing/,Medium,1,2017,core,Paper,https://www.aeaweb.org/articles?id=10.1257/aer.20140855
Tax Policy for Economic Recovery and Growth,Academic Paper,Arnold; Brys; Heady; Johansson; Schwellnus; Vartia,Scanned,https://www.progress.org/wiki/arnold-tax-growth-ej/,Medium,1,2011,important,Paper,https://doi.org/10.1111/j.1468-0297.2010.02415.x
Tax Policy Leverage and Macroeconomic Stability (IMF Policy Paper 2016/070),Institutional Report,International Monetary Fund,Referenced,https://www.progress.org/wiki/allowance-for-corporate-equity/,Light,1,2016,important,Report,https://www.imf.org/external/np/pp/eng/2016/100716.pdf
Taxation and Economic Growth (OECD Working Paper 620),Academic Paper,Johansson; Heady; Arnold; Brys; Vartia,Scanned,https://www.progress.org/wiki/oecd-taxation-economic-growth/,Medium,1,2008,core,Paper,https://www.oecd.org/en/publications/taxation-and-economic-growth_241216205486.html
Taxation and Innovation in the Twentieth Century,Academic Paper,Ufuk Akcigit; John Grigsby; Tom Nicholas; Stefanie Stantcheva,Scanned,https://www.progress.org/wiki/akcigit-taxation-innovation/,Medium,1,2022,core,Paper,https://academic.oup.com/qje/article-abstract/137/1/329/6292271
"Taxation and the Losses of Nations (in Harrison ed., The Losses of Nations)",Academic/Research,Nicolaus Tideman; Florenz Plassmann,Referenced,https://www.progress.org/wiki/tideman-plassmann-losses-of-nations/,Light,2,1998,important,Chapter,https://www.sharetherents.org/wp-content/uploads/2014/05/Losses-of-Nations.pdf
Taxes and Rents: The Power of Tax Policy to Shape Pre-Tax Income,Academic/Research,Kenneth Austin Richards,Scanned,https://www.progress.org/wiki/richards-taxes-and-rents/,Medium,0,2019,supplementary,Paper,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3330239
Taxes Do Affect Corporate Financing Decisions: The Case of Belgian ACE (CESifo WP 3713),Academic Paper,Savina Princen,Referenced,https://www.progress.org/wiki/allowance-for-corporate-equity/,Light,1,2012,supplementary,Paper,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1992330
Taxing Immovable Property: Revenue Potential and Implementation Challenges,Academic/Research,John Norregaard,Scanned,https://www.progress.org/wiki/imf-taxing-immovable-property/,Medium,3,2013,important,Paper,https://www.imf.org/external/pubs/ft/wp/2013/wp13129.pdf
Taxing Profit in a Global Economy,Modern Book,Michael Devereux; Alan Auerbach; Michael Keen; Paul Oosterhuis; Wolfgang Schön; John Vella,Referenced,https://www.progress.org/wiki/cash-flow-tax/,Light,1,2021,important,Book,https://ora.ox.ac.uk/objects/uuid:1d6cef71-04bd-4c95-a45a-6c4f4677090e
Taxing Property in Developing Countries,Academic/Research,Anne Brockmeyer; Alejandro Estefan; Karina Ramírez Arras; Juan Carlos Suárez Serrato,Scanned,https://www.progress.org/wiki/brockmeyer-property-tax-developing/,Medium,2,2021,important,Paper,https://www.nber.org/system/files/working_papers/w28637/w28637.pdf
Ten Facts on Declining Business Dynamism and Lessons from Endogenous Growth Theory,Academic Paper,Ufuk Akcigit; Sina T. Ates,Scanned,https://www.progress.org/wiki/akcigit-ates-business-dynamism/,Medium,1,2021,important,Paper,https://www.nber.org/papers/w25755
The 18-Year Pattern Predicting 2027's Market Crash (progress.org),Online Writing,Unattributed [VERIFY],Scanned,https://www.progress.org/wiki/progress-18-6-year-cycle/,Medium,6,2026,supplementary,Article,https://www.progress.org/articles/18-6-year-real-estate-cycle/
The Alaska Permanent Fund Dividend: An Experiment in Wealth Distribution,Academic Paper,Scott Goldsmith,Scanned,https://www.progress.org/wiki/goldsmith-alaska-pfd-wealth-distribution/,Medium,1,2002,important,Paper,https://basicincome.org/bien/pdf/2002Goldsmith.pdf
The Bubble and Beyond: Fictitious Capital Debt Deflation and the Global Crisis,Modern Book,Michael Hudson,Referenced,https://www.progress.org/wiki/fire-sector/,Light,1,2012,important,Book,https://michael-hudson.com/2012/08/overview-the-bubble-and-beyond/
The Business Cycle: A Georgist-Austrian Synthesis,Academic Paper,Fred E. Foldvary,Scanned,https://www.progress.org/wiki/foldvary-business-cycle-synthesis/,Medium,4,1997,important,Paper,https://www.jstor.org/stable/3487330
The Case Against the Case Against the Single Tax,Online Writing,Fred Foldvary,Referenced,https://www.progress.org/wiki/johnson-1914-single-tax-critique/,Light,1,2017,supplementary,Article,https://www.progress.org/articles/the-case-against-the-case-against-the-single-tax/
The Case against the Single Tax,Historical Text,Alvin S. Johnson,Referenced,https://www.progress.org/wiki/johnson-1914-single-tax-critique/,Light,1,1914,important,Article,https://archive.org/download/sim_atlantic_1914-01_113_1/sim_atlantic_1914-01_113_1_djvu.txt
The Changing Wealth of Nations 2021: Managing Assets for the Future,Report,World Bank,Scanned,https://www.progress.org/wiki/world-bank-changing-wealth/,Medium,1,2021,important,Report,https://openknowledge.worldbank.org/handle/10986/36400
The Common Wealth Fund,Online Writing,,Scanned,https://www.progress.org/wiki/common-wealth-fund/,Medium,0,2024,Supplementary,Report,https://commonwealth.ca/fund
The Condition of Labour: An Open Letter to Pope Leo XIII,Historical Text,Henry George,Scanned,https://www.progress.org/wiki/open-letter-to-pope-leo-xiii/,Medium,0,1891,important,Text,https://cooperative-individualism.org/
The Corruption of Economics,Modern Book,Mason Gaffney; Fred Harrison,Scanned,https://www.progress.org/wiki/gaffney-harrison-corruption-of-economics/,Deep,2,1994,core,Book,https://shepheardwalwyn.com/product/the-corruption-of-economics-2nd-edition-by-mason-gaffney-fred-harrison/
The Corruption of Economics (progress.org),Online Writing,Martin Adams,Referenced,https://www.progress.org/wiki/the-corruption-of-economics/,Light,1,2015,supplementary,Article,https://www.progress.org/articles/the-corruption-of-economics
The Crime of Poverty,Historical Text,Henry George,Scanned,https://www.progress.org/wiki/crime-of-poverty/,Heavy,3,1885,core,Text,https://archive.org/details/crimeofpoverty00geor
The Croatian profit tax: an ACE in practice,Academic Paper,Michael Keen; John King,Referenced,https://www.progress.org/wiki/allowance-for-corporate-equity/,Light,1,2002,supplementary,Paper,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1475-5890.2002.tb00066.x
The Deportations Delirium of Nineteen-Twenty,Historical Text,Louis F. Post,Scanned,https://www.progress.org/wiki/deportations-delirium/,Heavy,2,1923,important,Book,https://curiosity.lib.harvard.edu/immigration-to-the-united-states-1789-1930/catalog/39-990012652290203941
The Depression of 2026,Online Writing,Fred Foldvary,Scanned,,Light,1,2012,supplementary,Article,https://www.progress.org/articles/the-depression-of-2026
The Distribution of Wealth: A Theory of Wages Interest and Profits,Historical Text,John Bates Clark,Referenced,https://www.progress.org/wiki/blaug-henry-george-rebel/,Light,2,1899,important,Book,https://www.econlib.org/library/Clark/clkDW.html
The Economic Implications of Housing Supply,Academic Paper,Edward L. Glaeser; Joseph Gyourko,Scanned,https://www.progress.org/wiki/glaeser-gyourko-housing-supply/,Medium,1,2018,core,Paper,https://pubs.aeaweb.org/doi/10.1257/jep.32.1.3
The Economics of Henry George: History's Rehabilitation of America's Greatest Early Economist,Modern Book,Phillip J. Bryson,Scanned,https://www.progress.org/wiki/economics-of-henry-george/,Heavy,0,2011,core,Book,https://link.springer.com/book/10.1057/9780230119314
The Effects of Property Taxes and Local Public Spending on Property Values,Academic Paper,Wallace E. Oates,Scanned,https://www.progress.org/wiki/oates-1969-capitalization/,Medium,1,1969,core,Paper,https://www.jstor.org/stable/1837209
The EU ETS Reduced CO2 Emissions Despite Low Prices,Academic Paper,Patrick Bayer; Michaël Aklin,Scanned,https://www.progress.org/wiki/carbon-pricing-cuts-emissions/,Light,1,2020,important,Paper,https://www.pnas.org/doi/10.1073/pnas.1918128117
The Fall of the Labor Share and the Rise of Superstar Firms,Academic Paper,Autor; Dorn; Katz; Patterson; Van Reenen,Scanned,https://www.progress.org/wiki/autor-superstar-firms/,Medium,1,2020,important,Paper,https://www.nber.org/papers/w23396
The Federal Communications Commission,Academic Paper,Ronald H. Coase,Scanned,https://www.progress.org/wiki/spectrum-auctions/,Medium,1,1959,core,Paper,https://www.jstor.org/stable/724927
The Financialization of the American Economy,Academic Paper,Greta Krippner,Scanned,,Light,1,2005,supplementary,Paper,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=811461
The Geographic Determinants of Housing Supply,Academic Paper,Albert Saiz,Scanned,https://www.progress.org/wiki/saiz-housing-supply-elasticity/,Medium,2,2010,core,Paper,https://doi.org/10.1162/qjec.2010.125.3.1253
The Georgist Podcourse (Earthsharing),Academic/Research,Karl Fitzgerald; Earthsharing Australia,Scanned,https://www.progress.org/wiki/earthsharing-podcourse/,Medium,0,2019,supplementary,Paper,http://www.earthsharing.org.au/2019/05/the-georgist-podcourse/
"The Gothenburg congestion charge - effects, design and politics",Academic Paper,Maria Börjesson; Ida Kristoffersson,Scanned,https://www.progress.org/wiki/congestion-pricing-reduces-traffic/,Light,1,2015,important,Paper,https://www.transportportal.se/swopec/CTS2014-25.pdf
The Great Land Robbery (The Atlantic),Journalism,Vann R. Newkirk II,Referenced,https://www.progress.org/wiki/the-great-land-robbery/,Light,1,2019,important,Article,https://www.theatlantic.com/magazine/archive/2019/09/this-land-was-our-land/594742/
"The Great Mortgaging: Housing Finance, Crises, and Business Cycles",Academic Paper,Òscar Jordà; Moritz Schularick; Alan M. Taylor,Scanned,https://www.progress.org/wiki/great-mortgaging/,Medium,2,2014,important,Paper,https://www.nber.org/papers/w20501
The Great Reversal: How America Gave Up on Free Markets,Modern Book,Thomas Philippon,Scanned,https://www.progress.org/wiki/philippon-great-reversal/,Medium,1,2019,important,Book,https://www.hup.harvard.edu/books/9780674260320
The Growth of Finance,Academic Paper,"Robin Greenwood, David Scharfstein",Scanned,https://www.progress.org/wiki/greenwood-scharfstein-growth-of-finance/,Medium,2,2013,important,Paper,https://www.aeaweb.org/articles?id=10.1257/jep.27.2.3
The Henry George Theorem in a Second-Best World,Academic/Research,Kristian Behrens; Yoshitsugu Kanemoto; Yasusada Murata,Scanned,https://www.progress.org/wiki/behrens-hgt-second-best/,Medium,1,2015,important,Paper,https://www.sciencedirect.com/science/article/abs/pii/S0094119014000771
The Hidden Taxable Capacity of Land: Enough and to Spare,Academic/Research,Mason Gaffney,Scanned,https://www.progress.org/wiki/gaffney-hidden-taxable-capacity/,Medium,6,2009,core,Paper,https://economics.ucr.edu/papers/papers08/08-12old.pdf
The Hidden Wealth of Nations: The Scourge of Tax Havens,Modern Book,Gabriel Zucman,Scanned,,Light,1,2015,supplementary,Book,https://press.uchicago.edu/ucp/books/book/chicago/H/bo20159386.html
The Homestead Act of 1862 (educator resources),Government/Official,US National Archives,Referenced,https://www.progress.org/wiki/the-great-land-robbery/,Light,1,,supplementary,Article,https://www.archives.gov/education/lessons/homestead-act
"The Homevoter Hypothesis: How Home Values Influence Local Government Taxation, School Finance, and Land-Use Policies",Modern Book,William A. Fischel,Referenced,https://www.progress.org/wiki/homevoters-will-block-lvt/,Light,1,2001,important,Book,https://www.hup.harvard.edu/books/9780674015951
The Impact of Property Taxation on Housing Values and Rents,Academic Paper,Richard Dusansky; Melvin Ingber; Nicholas Karatjas,Referenced,https://www.progress.org/wiki/tsoodle-turner-rents/,Light,1,1981,supplementary,Paper,https://ideas.repec.org/a/eee/juecon/v10y1981i2p240-255.html
The Impact of Supply Constraints on House Prices in England,Academic Paper,Christian Hilber; Wouter Vermeulen,Scanned,https://www.progress.org/wiki/hilber-vermeulen-england-supply/,Light,1,2016,important,Paper,https://doi.org/10.1111/ecoj.12213
The Impact of Taxation and Valuation Practices on the Timing and Efficiency of Land Use,Academic Paper,Brian L. Bentick,Scanned,https://www.progress.org/wiki/bentick-mills-timing-neutrality/,Light,2,1979,important,Paper,https://www.journals.uchicago.edu/doi/abs/10.1086/260797
The Impact of Urban Land Taxation: The Pittsburgh Experience,Academic/Research,Wallace E. Oates; Robert M. Schwab,Scanned,https://www.progress.org/wiki/oates-schwab-pittsburgh/,Medium,11,1997,core,Paper,https://cooperative-individualism.org/oates-wallace_the-impact-of-urban-land-taxation-1997-mar.pdf
The Incidence of Differential Property Taxes on Urban Housing,Academic Paper,Larry L. Orr,Referenced,https://www.progress.org/wiki/tsoodle-turner-rents/,Light,1,1968,important,Paper,
The Incidence of Differential Property Taxes on Urban Housing: A Comment and Some Further Evidence,Academic Paper,John D. Heinberg; Wallace E. Oates,Referenced,https://www.progress.org/wiki/tsoodle-turner-rents/,Light,1,1970,supplementary,Paper,https://www.rff.org/publications/journal-articles/the-incidence-of-differential-property-taxes-on-urban-housing-a-comment-and-some-further-evidence/
The Labor Market Impacts of Universal and Permanent Cash Transfers: Evidence from the Alaska Permanent Fund,Academic Paper,Damon Jones; Ioana Marinescu,Scanned,https://www.progress.org/wiki/jones-marinescu-alaska-pfd/,Medium,1,2022,core,Paper,https://www.nber.org/papers/w24312
The Land Question,Academic/Research,Henry George,Scanned,https://www.progress.org/wiki/the-land-question/,Heavy,0,1881,important,Paper,https://www.henrygeorge.org/
The Limehouse Speech (1909),Historical Text,David Lloyd George,Scanned,https://www.progress.org/wiki/limehouse-speech-1909/,Heavy,2,1909,important,Text,https://archive.org/details/bettertimes00lloyrich
The Lloyd George Land Taxes,Academic Paper,Roy Douglas,Scanned,,Light,1,,supplementary,Paper,https://liberalhistory.org.uk/wp-content/uploads/2014/10/73_Douglas_Lloyd_George_land_taxes.pdf
The Making of the English Working Class,Historical Text,E.P. Thompson,Referenced,https://www.progress.org/wiki/fairlie-short-history-enclosure/,Light,2,1963,important,Book,
The Mirrlees Review: Tax by Design,Academic Paper,IFS / James Mirrlees et al.,Scanned,https://www.progress.org/wiki/mirrlees-review/,Medium,0,2011,Core,Report,https://ifs.org.uk/books/tax-design
The Modern Georgism of Respected Economists,Academic/Research,Progress and Poverty Institute,Scanned,https://www.progress.org/wiki/modern-georgism-respected-economists/,Medium,0,2023,important,Paper,https://progressandpoverty.substack.com/p/the-modern-georgism-of-respected
"The Monopolists: Obsession, Fury, and the Scandal Behind the World's Favorite Board Game",Modern Book,Mary Pilon,Referenced,https://www.progress.org/wiki/elizabeth-magie/,Light,1,2015,supplementary,Book,https://www.bloomsbury.com/us/monopolists-9781608199655/
"The Mother of All Monopolies (Churchill, 1909)",Historical Text,Winston Churchill,Scanned,https://www.progress.org/wiki/churchill-mother-of-monopolies-1909/,Heavy,3,1909,important,Text,https://www.cooperative-individualism.org/churchill-winston_mother-of-all-monopolies-1909.htm
The Nature of Capital and Income,Historical Text,Irving Fisher,Referenced,https://www.progress.org/wiki/blaug-henry-george-rebel/,Light,1,1906,important,Book,https://fraser.stlouisfed.org/title/nature-capital-income-6159/fulltext
The Non-Neutrality of Land Value Taxation,Academic Paper,David E. Mills,Scanned,https://www.progress.org/wiki/bentick-mills-timing-neutrality/,Light,2,1981,important,Paper,https://www.journals.uchicago.edu/doi/10.1086/NTJ41862356
The Norwegian Fiscal Policy Framework (handlingsregelen),Government/Official,Norwegian Ministry of Finance,Referenced,https://www.progress.org/wiki/resource-rent-capture-works/,Light,1,2017,important,Article,https://www.regjeringen.no/en/topics/the-economy/economic-policy/economic-policy/id418083/
The People's Budget 1909/10: Lloyd George and Liberal Politics,Modern Book,Bruce K. Murray,Scanned,https://www.progress.org/wiki/peoples-budget-1909/,Heavy,0,1980,important,Book,
The People's Budget: Speech Introducing the Finance Bill (1909),Historical Text,David Lloyd George,Scanned,https://www.progress.org/wiki/peoples-budget-speech-1909/,Light,0,1909,important,Text,https://api.parliament.uk/historic-hansard/
The People's Rights,Primary Text,Winston Churchill,Scanned,https://www.progress.org/wiki/churchill-peoples-rights/,Medium,1,1910,important,Book,https://archive.org/details/peoplesrights00chur
The Power in the Land,Modern Book,Fred Harrison,Scanned,https://www.progress.org/wiki/harrison-power-in-the-land/,Heavy,4,1983,core,Book,https://shepheardwalwyn.com/product/the-power-in-the-land/
The Price and Quantity of Residential Land in the United States,Academic Paper,Morris A. Davis; Jonathan Heathcote,Scanned,https://www.progress.org/wiki/davis-heathcote-us-land/,Light,1,2007,important,Paper,https://doi.org/10.1016/j.jmoneco.2007.06.023
The Price of Residential Land for Counties ZIP Codes and Census Tracts in the United States,Academic Paper,Morris A. Davis; William D. Larson; Stephen D. Oliner; Jessica Shui,Scanned,https://www.progress.org/wiki/davis-larson-oliner-shui-fhfa-land/,Light,2,2019,core,Paper,https://www.fhfa.gov/research/papers/wp1901
The Price of Residential Land in Large US Cities,Academic Paper,Morris A. Davis; Michael G. Palumbo,Referenced,https://www.progress.org/wiki/davis-larson-oliner-shui-fhfa-land/,Light,1,2008,important,Paper,https://www.federalreserve.gov/Pubs/FEDS/2006/200625
"The Prize in Economic Sciences 2020 (Milgrom & Wilson, auction design)",Government/Official,Royal Swedish Academy of Sciences,Referenced,https://www.progress.org/wiki/spectrum-auctions/,Light,1,2020,important,Article,https://www.nobelprize.org/prizes/economic-sciences/2020/popular-information/
The Profit Paradox: How Thriving Firms Threaten the Future of Work,Modern Book,Jan Eeckhout,Scanned,https://www.progress.org/wiki/eeckhout-profit-paradox/,Medium,1,2021,important,Book,https://press.princeton.edu/books/hardcover/9780691214474/the-profit-paradox
The Property Tax as a Capital Tax: A Room with Three Views,Academic Paper,George R. Zodrow,Scanned,https://www.progress.org/wiki/zodrow-three-views/,Medium,1,2001,important,Paper,https://doi.org/10.17310/ntj.2001.1.07
The Property Tax: An Excise Tax or a Profits Tax?,Academic Paper,Peter Mieszkowski,Scanned,https://www.progress.org/wiki/mieszkowski-property-tax-incidence/,Medium,1,1972,core,Paper,https://doi.org/10.1016/0047-2727(72)90020-5
"The Right to the Use of the Earth (Social Statics, 1851)",Historical Text,Herbert Spencer,Scanned,https://www.progress.org/wiki/social-statics-right-to-use-earth/,Heavy,2,1851,important,Text,https://cooperative-individualism.org/spencer-herbert_land-question-1851.htm
The Rise and Rise of the Global Balance Sheet: How Productively Are We Using Our Wealth?,Report,McKinsey Global Institute,Referenced,,Light,1,2021,important,Report,https://www.mckinsey.com/industries/financial-services/our-insights/the-rise-and-rise-of-the-global-balance-sheet-how-productively-are-we-using-our-wealth
The Rise of Market Power and the Macroeconomic Implications,Academic Paper,Jan De Loecker; Jan Eeckhout; Gabriel Unger,Scanned,https://www.progress.org/wiki/de-loecker-eeckhout-unger-markups/,Medium,1,2020,core,Paper,https://doi.org/10.1093/qje/qjz041
The Science of Political Economy,Academic/Research,Henry George,Scanned,https://www.progress.org/wiki/science-of-political-economy/,Medium,0,1898,supplementary,Paper,https://www.henrygeorge.org/
"The Scottish Clearances: A History of the Dispossessed, 1600-1900",Modern Book,T.M. Devine,Referenced,https://www.progress.org/wiki/the-great-land-robbery/,Light,1,2018,important,Book,
The Secret Life of Real Estate and Banking,Modern Book,Phillip J. Anderson,Scanned,https://www.progress.org/wiki/anderson-secret-life-real-estate/,Heavy,3,2008,important,Book,https://shepheardwalwyn.com/product/the-secret-life-of-real-estate-and-banking/
The Secret Wealth Advantage,Modern Book,Akhil Patel,Scanned,https://www.progress.org/wiki/patel-secret-wealth-advantage/,Heavy,0,2023,supplementary,Book,https://harriman-house.com/the-secret-wealth-advantage
The Shifting of the Property Tax on Urban Renters: Evidence from New York State's Homestead Tax Option,Academic Paper,David J. Schwegman; John Yinger,Scanned,https://www.progress.org/wiki/schwegman-yinger-homestead/,Light,2,2020,important,Paper,https://www.census.gov/library/working-papers/2020/adrm/CES-WP-20-43.html
The Single Tax: Economic and Moral Implications,Online Writing,Murray Rothbard,Scanned,https://www.progress.org/wiki/rothbard-single-tax/,Medium,1,1957,important,Paper,https://mises.org/library/single-tax-economic-and-moral-implications
The Stockholm congestion charges - 5 years on,Academic Paper,Maria Börjesson; Jonas Eliasson; Muriel Hugosson; Karin Brundell-Freij,Scanned,https://www.progress.org/wiki/congestion-pricing-reduces-traffic/,Light,1,2012,important,Paper,https://ideas.repec.org/a/eee/trapol/v20y2012icp1-12.html
The Stockholm congestion charges: an overview,Academic Paper,Jonas Eliasson,Scanned,https://www.progress.org/wiki/congestion-pricing/,Medium,1,2014,important,Paper,https://www.transportportal.se/swopec/cts2014-7.pdf
The Structure and Reform of Direct Taxation (Meade Report),Institutional Report,IFS Meade Committee; James Meade,Scanned,https://www.progress.org/wiki/meade-report/,Medium,1,1978,core,Report,https://ifs.org.uk/sites/default/files/output_url_files/meade.pdf
The Taxable Capacity of Australian Land and Resources,Academic Paper,Terence Dwyer,Referenced,https://www.progress.org/wiki/dwyer-taxable-capacity-australia/,Light,2,2003,important,Paper,https://www.prosper.org.au/wp-content/uploads/2020/02/Dwyer_TaxableCapacityOfAustralianLand.pdf
The Theory of Local Public Goods,Academic/Research,Joseph Stiglitz,Scanned,https://www.progress.org/wiki/stiglitz-theory-local-public-goods/,Medium,0,1977,core,Paper,https://www.nber.org/
The Value of Everything: Making and Taking in the Global Economy,Modern Book,Mariana Mazzucato,Scanned,https://www.progress.org/wiki/mazzucato-value-of-everything/,Medium,1,2018,important,Book,https://www.penguin.co.uk/books/301195/the-value-of-everything-by-mazzucato-mariana/9780141980768
This Time is Different: Eight Centuries of Financial Folly,Modern Book,Carmen Reinhart; Kenneth Rogoff,Not scanned,,—,0,2009,important,Book,https://press.princeton.edu/books/paperback/9780691152646/this-time-is-different
Thy Kingdom Come (sermon),Historical Text,Henry George,Scanned,https://www.progress.org/wiki/thy-kingdom-come/,Heavy,3,1889,core,Text,https://archive.org/details/thykingdomcomea00georgoog
Tolstoy: Principles for a New World Order,Modern Book,David Redfearn,Scanned,https://www.progress.org/wiki/tolstoy-principles-redfearn/,Heavy,0,1992,important,Book,
Total Resource Rents of Australia: Harnessing the Power of Monopoly,Advocacy Report,Karl Fitzgerald; Prosper Australia,Referenced,https://www.progress.org/wiki/ecological-rent/,Light,1,2013,important,Report,https://www.prosper.org.au/wp-content/uploads/2013/12/TRRA_2013_final.pdf
Towards a Political Theory of the Firm,Academic Paper,Luigi Zingales,Scanned,https://www.progress.org/wiki/zingales-political-theory-firm/,Medium,1,2017,important,Paper,https://www.nber.org/papers/w23593
Uncertainty Risk Aversion and the Taxing of Natural Resource Projects,Academic Paper,Ross Garnaut; Anthony Clunies Ross,Referenced,https://www.progress.org/wiki/cash-flow-tax/,Light,1,1975,important,Paper,https://academic.oup.com/ej/article-abstract/85/338/272/5219308
Understanding Weak Capital Investment: the Role of Market Concentration and Intangibles,Academic Paper,Nicolas Crouzet; Janice Eberly,Scanned,https://www.progress.org/wiki/crouzet-eberly-intangibles/,Heavy,1,2019,important,Paper,https://www.nber.org/papers/w25869
Unveiling the Hidden Impact of Urban Land Rents on Total Factor Productivity,Academic/Research,Bas Bakker,Scanned,https://www.progress.org/wiki/bakker-land-rents-tfp/,Medium,3,2023,important,Paper,https://papers.ssrn.com/sol3/Delivery.cfm/wpi2023170.pdf?abstractid=4557156
Urban Growth and Its Aggregate Implications,Academic Paper,Gilles Duranton; Diego Puga,Scanned,https://www.progress.org/wiki/duranton-puga-urban-growth/,Medium,1,2023,important,Paper,https://doi.org/10.3982/ECTA17936
Urban Sprawl and the Property Tax,Academic Paper,Jan K. Brueckner; Hyun-A Kim,Scanned,https://www.progress.org/wiki/brueckner-kim-sprawl/,Medium,3,2003,important,Paper,https://matthewturner.org/ec2410/readings/Breuckner_Kim_ITPF_2003.pdf
Value Added by Industry: FIRE as a Percentage of GDP (FRED VAPGDPFIRL),Government/Official,BEA via FRED,Referenced,https://www.progress.org/wiki/fire-sector/,Light,1,ongoing,supplementary,Dataset,https://fred.stlouisfed.org/series/VAPGDPFIRL
Value of All Land in the United States,Journalism,Matt Yglesias,Referenced,,Light,1,2013,supplementary,Article,https://slate.com/business/2013/12/value-of-all-land-in-the-united-states.html
Valuing Rail Access Using Transport Innovations,Academic Paper,Stephen Gibbons; Stephen Machin,Scanned,https://www.progress.org/wiki/gibbons-machin-rail-access/,Medium,1,2005,important,Paper,https://doi.org/10.1016/j.jue.2004.10.002
Vitalik Buterin: On Radical Markets,Academic/Research,Vitalik Buterin,Scanned,https://www.progress.org/wiki/buterin-on-radical-markets/,Medium,0,2018,supplementary,Paper,https://vitalik.eth.limo/general/2018/04/20/radical_markets.html
